customer_id,age,gender,region,membership,signup_year
C00304,52,M,경기,Silver,2020
C00305,41,M,대전,Bronze,2017
C00306,34,M,부산,Silver,2017
C00307,22,F,광주,Bronze,2019
C00308,37,M,서울,Bronze,2019
C00309,38,F,경기,Gold,2022
C00310,57,F,경기,Bronze,2015
C00311,48,F,경기,Silver,2016
C00312,63,F,광주,Silver,2019
C00313,53,F,경기,Gold,2018
C00314,28,F,대전,Silver,2016
C00315,69,M,경기,Bronze,2021
C00316,32,F,서울,Bronze,2018
C00317,36,M,서울,Bronze,2023
C00318,24,F,서울,Silver,2021
C00319,68,F,부산,Bronze,2023
C00320,45,F,서울,Bronze,2021
C00321,68,F,경기,Silver,2022
C00322,60,M,대구,Bronze,2016
C00323,22,M,서울,Bronze,2020
C00324,22,M,서울,Silver,2022
C00325,47,M,경기,Bronze,2019
C00326,49,F,부산,Silver,2019
C00327,25,F,광주,Bronze,2019
C00328,27,M,부산,VIP,2016
C00329,55,F,대전,Bronze,2015
C00330,64,F,서울,Silver,2019
C00331,49,M,경기,Bronze,2019
C00332,65,M,광주,Gold,2020
C00333,45,F,대구,Bronze,2023
C00334,34,M,부산,Silver,2020
C00335,48,F,경기,Bronze,2020
C00336,25,F,서울,Silver,2020
C00337,57,F,서울,Bronze,2016
C00338,42,F,서울,Gold,2016
C00339,26,F,서울,Silver,2019
C00340,19,F,대구,Bronze,2023
C00341,32,F,서울,Bronze,2018
C00342,67,M,경기,Silver,2020
C00343,20,M,대전,Silver,2016
C00344,66,M,경기,Silver,2021
C00345,53,M,서울,Bronze,2016
C00346,21,M,부산,Silver,2016
C00347,31,F,대구,Bronze,2019
C00348,58,F,서울,Gold,2016
C00349,58,M,대구,Gold,2020
C00350,42,F,서울,Bronze,2019
C00351,67,M,부산,Bronze,2022
C00352,27,F,서울,Silver,2015
C00353,38,F,경기,Bronze,2020
C00354,53,F,경기,Bronze,2017
C00355,29,M,대구,Bronze,2021
C00356,44,F,부산,Silver,2023
C00357,57,M,광주,Bronze,2021
C00358,19,F,서울,Bronze,2021
C00359,30,M,부산,Bronze,2017
C00360,70,M,서울,Bronze,2016
C00361,49,M,경기,Bronze,2016
C00362,48,F,경기,Bronze,2015
C00363,33,F,서울,Bronze,2023
C00364,49,F,서울,Bronze,2019
C00365,49,F,광주,Bronze,2022
C00366,51,M,서울,Bronze,2018
C00367,28,F,경기,Bronze,2021
C00368,27,M,부산,Gold,2016
C00369,32,M,서울,Bronze,2017
C00370,34,F,서울,Silver,2017
C00371,57,M,경기,Bronze,2022
C00372,35,F,서울,Bronze,2021
C00373,26,F,광주,Bronze,2023
C00374,42,F,대전,Bronze,2018
C00375,57,M,경기,Silver,2017
C00376,31,F,서울,Bronze,2015
C00377,42,M,경기,Bronze,2021
C00378,67,F,서울,Bronze,2022
C00379,39,F,경기,Bronze,2022
C00380,69,F,서울,Bronze,2021
C00381,47,M,대구,Silver,2022
C00382,37,M,서울,Gold,2015
C00383,38,M,경기,Bronze,2022
C00384,61,F,서울,Silver,2016
C00385,49,F,경기,VIP,2019
C00386,68,M,서울,Bronze,2017
C00387,63,F,대전,Bronze,2020
C00388,66,F,경기,Gold,2019
C00389,38,F,서울,Bronze,2020
C00390,52,F,경기,Silver,2019
C00391,49,M,서울,Bronze,2022
C00392,47,M,경기,Silver,2023
C00393,56,M,서울,Silver,2017
C00394,66,M,경기,Silver,2015
C00395,29,F,경기,Silver,2017
C00396,58,M,대구,Silver,2019
C00397,64,M,경기,VIP,2021
C00398,35,F,광주,Silver,2016
C00399,38,M,대전,Gold,2017
C00400,30,F,대전,Bronze,2019
C00401,38,F,서울,VIP,2016
C00402,25,M,대구,Bronze,2017
C00403,63,M,경기,Bronze,2015
C00404,57,M,경기,Gold,2019
C00405,63,F,광주,Bronze,2019
C00406,24,F,서울,Bronze,2022
C00407,40,M,경기,Silver,2021
C00408,61,F,부산,Gold,2018
C00409,49,M,서울,Bronze,2017
C00410,28,F,광주,Gold,2021
C00411,39,M,경기,Bronze,2015
C00412,39,F,부산,Bronze,2017
C00413,60,F,대전,Bronze,2023
C00414,42,M,대구,Bronze,2017
C00415,39,F,광주,Bronze,2020
C00416,45,M,서울,Bronze,2019
C00417,46,F,경기,Bronze,2015
C00418,30,M,부산,Gold,2021
C00419,35,M,부산,Gold,2020
C00420,19,M,서울,Bronze,2017
C00421,46,F,부산,Gold,2021
C00422,38,M,서울,Bronze,2019
C00423,32,F,서울,Gold,2021
C00424,69,M,경기,Bronze,2015
C00425,44,F,부산,Silver,2023
C00426,67,M,대전,VIP,2020
C00427,48,F,부산,Bronze,2022
C00428,32,F,부산,Gold,2015
C00429,68,F,서울,Gold,2016
C00430,40,M,서울,Bronze,2017
C00431,41,M,부산,Bronze,2015
C00432,61,F,서울,Bronze,2017
C00433,30,F,대구,Bronze,2015
C00434,39,F,서울,Silver,2015
C00435,60,M,경기,Gold,2022
C00436,54,M,대구,Bronze,2016
C00437,50,F,광주,VIP,2015
C00438,20,M,경기,Bronze,2019
C00439,36,M,서울,Silver,2021
C00440,40,M,대전,VIP,2022
C00441,46,M,대구,Silver,2015
C00442,47,M,대구,Bronze,2020
C00443,56,F,서울,Silver,2023
C00444,61,F,경기,Silver,2020
C00445,64,M,서울,Bronze,2018
C00446,42,F,서울,Bronze,2023
C00447,54,M,서울,Silver,2017
C00448,64,F,경기,Silver,2020
C00449,25,M,대전,Bronze,2020
C00450,59,M,경기,Gold,2019
C00451,33,M,부산,Bronze,2023
C00452,25,F,광주,Silver,2019
C00453,18,F,서울,Silver,2023
C00454,61,F,서울,Gold,2016
C00455,22,M,서울,VIP,2019
C00456,20,M,광주,Gold,2017
C00457,18,F,부산,Silver,2020
C00458,21,F,경기,Silver,2023
C00459,57,M,광주,Silver,2016
C00460,52,M,서울,Silver,2019
C00461,49,M,서울,Silver,2015
C00462,59,F,부산,Bronze,2017
C00463,51,M,대구,Gold,2016
C00464,60,M,서울,Silver,2021
C00465,42,M,서울,Bronze,2021
C00466,27,M,경기,Silver,2019
C00467,38,F,서울,Silver,2023
C00468,63,M,대구,Bronze,2018
C00469,56,F,부산,Silver,2021
C00470,44,M,경기,Gold,2021
C00471,44,F,광주,Bronze,2022
C00472,19,F,대구,Silver,2019
C00473,58,F,서울,Bronze,2020
C00474,65,F,경기,Bronze,2016
C00475,30,M,경기,Gold,2016
C00476,26,F,대구,Gold,2020
C00477,69,F,대구,Silver,2019
C00478,53,M,경기,Silver,2017
C00479,39,F,광주,Bronze,2016
C00480,59,F,경기,Silver,2022
C00481,43,M,대구,Gold,2016
C00482,29,F,서울,Bronze,2018
C00483,34,M,서울,Silver,2016
C00484,31,F,대구,Gold,2018
C00485,31,F,서울,Bronze,2019
C00486,51,F,부산,Bronze,2023
C00487,70,M,대구,Silver,2023
C00488,37,F,부산,Silver,2016
C00489,28,M,대구,Silver,2023
C00490,33,F,경기,Bronze,2020
C00491,68,F,광주,Silver,2019
C00492,48,F,부산,Bronze,2016
C00493,23,F,경기,Bronze,2019
C00494,36,M,경기,Bronze,2019
C00495,54,M,광주,Bronze,2015
C00496,21,M,서울,Silver,2023
C00497,64,F,부산,Bronze,2020
C00498,21,M,서울,Silver,2023
C00499,37,M,서울,Gold,2018
C00500,27,F,대전,Silver,2021
C00501,41,M,서울,VIP,2021
C00502,52,F,부산,Bronze,2020
C00503,43,F,경기,Bronze,2015
C00504,54,M,광주,Silver,2023
C00505,55,M,대구,VIP,2018
C00506,38,F,서울,Bronze,2015
C00507,57,F,경기,Silver,2020
C00508,56,F,서울,Bronze,2019
C00509,38,F,경기,Silver,2021
C00510,27,M,대구,Bronze,2016
C00511,55,F,서울,VIP,2020
C00512,63,M,대구,Silver,2018
C00513,21,F,서울,Silver,2015
C00514,62,M,서울,Bronze,2019
C00515,37,F,서울,Silver,2016
C00516,34,F,서울,Silver,2020
C00517,24,M,경기,Gold,2021
C00518,21,F,서울,Silver,2020
C00519,46,M,대전,Silver,2020
C00520,31,F,대전,Bronze,2017
C00521,20,F,경기,Silver,2016
C00522,41,F,부산,Gold,2019
C00523,54,M,대전,Silver,2017
C00524,33,F,대구,Gold,2018
C00525,69,M,서울,Silver,2023
C00526,21,F,대구,Gold,2019
C00527,41,M,서울,Silver,2018
C00528,51,M,경기,Gold,2022
C00529,47,F,경기,Bronze,2022
C00530,35,F,대구,Silver,2020
C00531,36,F,서울,Bronze,2015
C00532,48,F,서울,Bronze,2022
C00533,36,M,광주,Bronze,2016
C00534,66,M,광주,Bronze,2021
C00535,63,F,경기,Silver,2022
C00536,36,M,부산,Silver,2022
C00537,39,F,대구,Silver,2018
C00538,41,F,경기,Bronze,2022
C00539,62,F,서울,Gold,2019
C00540,29,F,경기,Bronze,2020
C00541,47,F,대전,Bronze,2022
C00542,55,M,광주,Silver,2022
C00543,70,F,경기,Silver,2019
C00544,48,M,서울,Bronze,2023
C00545,53,F,광주,Silver,2020
C00546,36,F,부산,Bronze,2016
C00547,65,F,경기,Bronze,2015
C00548,62,F,서울,Bronze,2020
C00549,53,M,대구,Bronze,2016
C00550,47,M,경기,Bronze,2015
C00551,66,F,부산,Gold,2023
C00552,50,F,부산,Silver,2020
C00553,35,F,부산,Silver,2023
C00554,69,F,경기,Gold,2021
C00555,66,M,부산,Silver,2019
C00556,45,M,서울,Silver,2021
C00557,64,F,부산,Silver,2015
C00558,28,M,서울,Silver,2020
C00559,62,M,경기,Silver,2023
C00560,50,F,경기,Bronze,2023
C00561,34,M,부산,Bronze,2017
C00562,23,F,대구,Bronze,2019
C00563,21,M,대구,Silver,2022
C00564,37,M,서울,Silver,2015
C00565,65,F,경기,Silver,2018
C00566,64,M,서울,Bronze,2019
C00567,44,M,경기,Gold,2016
C00568,32,M,부산,Silver,2017
C00569,23,M,서울,Bronze,2018
C00570,64,M,경기,Bronze,2021
C00571,31,F,광주,Silver,2019
C00572,28,F,대구,Bronze,2022
C00573,56,M,대구,Bronze,2018
C00574,26,F,광주,Bronze,2021
C00575,43,M,경기,VIP,2016
C00576,33,M,대구,Bronze,2018
C00577,22,F,서울,Bronze,2016
C00578,69,M,서울,Silver,2022
C00579,27,F,경기,Bronze,2021
C00580,67,M,서울,Gold,2023
C00581,20,M,경기,Silver,2020
C00582,30,F,서울,Silver,2023
C00583,60,M,대전,Bronze,2020
C00584,66,F,광주,Silver,2019
C00585,47,F,대전,Bronze,2019
C00586,62,M,대구,Bronze,2019
C00587,23,M,대전,Bronze,2020
C00588,34,F,경기,Bronze,2018
C00589,62,M,경기,Silver,2022
C00590,68,M,서울,Bronze,2020
C00591,70,F,부산,Bronze,2020
C00592,36,M,대구,Bronze,2019
C00593,59,M,경기,Silver,2018
C00594,52,F,서울,Bronze,2022
C00595,63,M,경기,Bronze,2018
C00596,43,M,서울,Silver,2019
C00597,68,M,대구,Silver,2021
C00598,22,M,경기,Silver,2019
C00599,46,M,광주,Silver,2021
C00600,54,M,대전,Bronze,2020
C00601,37,F,서울,Silver,2020
C00602,66,M,대전,Bronze,2016
C00603,38,M,대전,Gold,2022
C00604,27,M,부산,Gold,2017
C00605,22,F,광주,Gold,2015
C00606,53,M,서울,Bronze,2020
C00607,23,F,대전,Silver,2016
C00608,43,F,경기,Gold,2016
C00609,21,F,광주,Gold,2017
C00610,56,F,경기,Gold,2016
C00611,56,F,대구,Silver,2016
C00612,67,M,경기,Bronze,2018
C00613,52,M,경기,Silver,2017
C00614,18,M,대전,Bronze,2017
C00615,41,M,부산,Gold,2022
C00616,53,F,광주,Bronze,2020
C00617,23,F,경기,Bronze,2023
C00618,58,F,광주,Bronze,2021
C00619,63,F,대구,Silver,2016
C00620,61,F,서울,Silver,2015
C00621,48,F,대구,Silver,2020
C00622,37,M,서울,Bronze,2023
C00623,41,M,광주,Bronze,2019
C00624,42,M,경기,Gold,2018
C00625,53,M,부산,Gold,2021
C00626,38,F,대구,Bronze,2019
C00627,47,F,부산,Bronze,2021
C00628,41,F,부산,VIP,2017
C00629,61,M,광주,Bronze,2016
C00630,59,M,경기,Gold,2022
C00631,47,M,경기,Bronze,2019
C00632,39,M,서울,Gold,2015
C00633,45,M,경기,Bronze,2023
C00634,24,M,서울,Bronze,2016
C00635,52,F,부산,Silver,2017
C00636,45,M,경기,Bronze,2015
C00637,31,M,광주,Bronze,2023
C00638,27,M,경기,Bronze,2022
C00639,33,F,서울,Silver,2019
C00640,33,M,경기,Bronze,2019
C00641,48,M,서울,Silver,2020
C00642,59,F,서울,Bronze,2018
C00643,42,M,대구,Bronze,2019
C00644,30,M,경기,Bronze,2020
C00645,23,F,서울,Silver,2019
C00646,61,F,서울,Bronze,2022
C00647,26,M,경기,Silver,2017
C00648,62,F,대구,Bronze,2021
C00649,53,F,경기,VIP,2018
C00650,60,M,서울,Bronze,2017
C00651,37,F,경기,Bronze,2018
C00652,35,F,대전,Silver,2023
C00653,60,M,경기,Silver,2019
C00654,38,F,서울,Gold,2016
C00655,21,M,부산,VIP,2015
C00656,67,F,대구,Silver,2016
C00657,50,F,서울,Silver,2023
C00658,44,M,부산,Bronze,2015
C00659,24,F,광주,Bronze,2021
C00660,23,F,서울,Bronze,2019
C00661,32,F,대전,Bronze,2017
C00662,35,F,부산,Bronze,2016
C00663,49,F,경기,Silver,2021
C00664,28,M,대전,Silver,2022
C00665,37,F,서울,Bronze,2021
C00666,41,M,대구,Silver,2021
C00667,32,F,대구,Bronze,2017
C00668,65,F,경기,Silver,2023
C00669,24,M,서울,Bronze,2019
C00670,38,F,경기,Silver,2017
C00671,59,F,서울,Bronze,2017
C00672,43,F,부산,Bronze,2015
C00673,61,F,대구,Silver,2020
C00674,31,M,경기,Silver,2021
C00675,54,M,부산,Bronze,2018
C00676,38,F,서울,Silver,2018
C00677,35,M,서울,Bronze,2017
C00678,22,M,광주,Bronze,2022
C00679,20,F,서울,Bronze,2021
C00680,40,F,서울,Bronze,2022
C00681,43,M,대전,Silver,2023
C00682,54,M,경기,Silver,2023
C00683,41,M,부산,Gold,2018
C00684,66,M,서울,Silver,2019
C00685,36,M,서울,Bronze,2020
C00686,68,M,경기,Gold,2019
C00687,42,F,부산,Gold,2015
C00688,38,F,대전,Gold,2022
C00689,29,M,부산,Bronze,2017
C00690,58,F,서울,VIP,2022
C00691,50,F,경기,VIP,2021
C00692,67,M,서울,Gold,2018
C00693,70,M,서울,Silver,2021
C00694,21,M,경기,Bronze,2017
C00695,59,F,경기,Bronze,2019
C00696,24,M,서울,Silver,2017
C00697,39,F,대전,Gold,2022
C00698,50,F,부산,Bronze,2023
C00699,34,M,서울,Bronze,2023
C00700,41,F,서울,Bronze,2017
C00701,51,M,대구,Silver,2021
C00702,45,M,광주,Bronze,2016
C00703,60,F,부산,Silver,2016
C00704,58,M,경기,Silver,2023
C00705,56,M,대구,Silver,2022
C00706,39,M,대전,Silver,2023
C00707,66,M,서울,Bronze,2023
C00708,34,M,광주,Bronze,2022
C00709,51,M,광주,Bronze,2018
C00710,23,F,경기,Silver,2023
C00711,63,M,서울,Bronze,2017
C00712,23,F,부산,Silver,2023
C00713,51,M,서울,Silver,2023
C00714,18,M,서울,Bronze,2019
C00715,27,F,대전,Bronze,2020
C00716,38,F,경기,Bronze,2021
C00717,22,M,경기,Silver,2019
C00718,19,M,서울,Bronze,2023
C00719,39,F,경기,Bronze,2017
C00720,65,F,대구,Bronze,2021
C00721,19,F,서울,Bronze,2020
C00722,27,F,경기,Bronze,2021
C00723,51,M,서울,Bronze,2018
C00724,33,F,경기,VIP,2020
C00725,65,M,광주,VIP,2022
C00726,68,F,서울,Gold,2022
C00727,56,M,서울,Gold,2018
C00728,39,F,경기,Bronze,2017
C00729,29,M,부산,Bronze,2017
C00730,41,F,경기,Bronze,2020
C00731,64,F,부산,Bronze,2018
C00732,57,F,서울,Bronze,2021
C00733,55,F,경기,Silver,2016
C00734,27,M,서울,Gold,2021
C00735,52,F,서울,Gold,2020
C00736,68,F,경기,Silver,2015
C00737,66,F,경기,Bronze,2016
C00738,49,M,서울,Bronze,2015
C00739,24,M,서울,Bronze,2023
C00740,38,F,부산,VIP,2020
C00741,37,M,경기,Gold,2021
C00742,43,M,서울,Bronze,2016
C00743,21,M,서울,Gold,2020
C00744,63,F,대구,Silver,2023
C00745,69,M,서울,Bronze,2022
C00746,39,M,경기,Bronze,2022
C00747,32,F,경기,Bronze,2020
C00748,57,F,대구,Bronze,2019
C00749,38,F,대구,Bronze,2021
C00750,32,M,부산,Bronze,2023
C00751,39,F,경기,Gold,2017
C00752,69,M,부산,Silver,2016
C00753,45,M,부산,Bronze,2023
C00754,31,F,경기,Bronze,2022
