line,temperature,pressure,power_consumption,yield_rate,defect_count,thickness,cycle_time
B,438.0,2.13,308.0,80.79,29,333.3,39.5
A,335.8,2.53,197.6,83.04,67,284.0,60.2
A,371.9,2.39,159.9,88.63,44,300.2,64.7
D,407.3,2.16,553.4,92.5,34,327.4,31.4
A,309.7,2.3,172.8,96.21,82,300.4,76.4
A,368.3,2.31,376.8,92.74,41,312.5,31.8
B,350.7,3.24,251.3,77.67,54,317.5,61.0
D,403.8,2.97,942.8,87.27,33,315.5,59.7
A,322.7,2.62,546.9,91.48,69,305.0,30.1
C,327.4,1.83,259.3,84.39,65,298.3,30.5
C,348.5,3.06,121.6,92.96,53,290.3,42.5
A,335.2,1.69,374.9,93.07,64,295.8,40.4
C,336.2,1.99,326.1,85.42,62,306.2,72.2
B,410.9,1.89,290.1,87.05,29,307.3,40.7
C,353.8,2.12,264.7,81.46,47,305.8,30.8
C,326.5,3.17,377.6,87.84,59,289.9,43.2
B,338.3,2.81,155.4,83.67,53,305.6,32.2
A,362.1,2.6,364.9,93.92,41,308.0,93.1
D,360.1,2.5,124.6,68.23,47,301.6,33.4
B,332.7,2.13,668.8,89.48,50,297.3,85.2
A,301.2,2.83,375.5,77.09,105,295.7,45.8
A,348.5,3.08,446.1,82.48,52,325.3,31.6
B,347.7,2.86,1110.5,96.35,48,304.6,63.0
C,330.6,2.75,247.7,86.59,58,302.4,37.9
A,388.4,2.9,206.9,86.94,29,309.7,32.8
B,367.2,2.53,106.9,79.08,39,317.9,52.6
A,354.0,1.7,609.1,86.04,49,311.9,61.1
C,339.2,2.96,2047.7,84.54,53,300.0,31.4
A,402.0,2.08,629.2,86.63,32,314.1,37.0
C,315.4,2.51,1255.9,90.49,76,306.7,63.3
B,335.1,3.23,248.2,96.45,58,297.9,39.0
D,336.4,2.49,449.0,79.72,58,307.2,53.3
A,359.0,3.15,123.4,81.8,44,305.6,34.4
B,369.8,2.56,885.5,95.78,47,302.9,31.1
A,309.9,2.17,595.0,90.59,78,302.7,38.8
D,329.5,2.47,1083.9,86.88,63,313.9,41.8
D,363.4,2.29,462.8,89.19,38,318.0,32.5
A,330.0,2.94,223.1,80.06,65,288.0,36.9
C,337.9,2.43,399.6,76.39,61,282.4,32.6
D,355.2,2.79,1081.5,93.59,41,300.8,45.9
B,320.6,2.66,1437.6,84.22,66,308.6,54.9
B,358.3,1.76,263.0,63.79,48,321.5,44.2
A,368.4,2.2,155.0,77.34,48,300.0,40.1
A,351.2,2.52,307.4,78.78,54,311.2,50.2
D,392.8,2.36,1076.4,89.93,38,309.7,37.2
D,371.8,2.56,1041.8,88.93,42,306.5,34.3
C,348.8,2.72,1860.2,95.24,50,309.4,46.0
B,340.4,2.93,203.9,69.47,61,292.7,50.9
B,402.6,2.63,195.3,58.79,32,331.3,41.9
C,330.2,2.55,512.3,76.38,60,280.8,56.4
D,341.8,2.74,789.2,76.77,56,295.3,90.1
D,337.7,2.25,144.0,73.39,65,303.3,55.7
C,361.9,2.59,521.1,81.31,42,313.4,46.6
C,417.7,2.67,2134.5,91.04,28,329.0,30.3
A,357.4,2.54,1137.0,87.24,47,308.2,36.7
A,340.3,2.49,307.8,84.83,53,287.3,33.1
D,355.7,2.77,433.7,95.28,47,301.8,35.3
C,310.6,2.11,225.4,85.29,78,288.8,61.2
A,344.4,2.17,766.9,92.57,55,299.0,46.2
A,401.1,2.42,410.2,79.73,30,316.5,34.0
C,369.9,2.93,311.9,89.41,40,290.2,54.1
A,386.9,1.93,515.4,82.42,38,320.8,32.7
A,380.4,2.91,706.5,89.99,37,313.1,30.7
B,328.7,3.07,168.1,84.3,69,301.0,35.8
C,407.4,2.59,949.4,74.71,28,303.8,50.9
C,296.7,2.08,154.5,81.2,102,293.7,30.7
A,360.0,1.84,1056.6,94.0,46,306.7,68.3
C,288.2,3.34,176.8,67.85,141,278.6,34.5
A,298.6,2.02,104.1,72.93,99,293.0,41.3
B,378.1,2.3,489.3,84.32,35,328.5,69.2
C,329.3,1.77,245.2,73.13,68,296.4,85.5
C,387.3,1.67,569.1,95.8,36,310.8,31.2
D,284.8,2.77,138.6,82.58,160,299.0,44.1
C,347.3,2.27,419.2,86.53,49,317.1,35.3
B,313.5,2.84,617.0,89.33,76,290.7,38.1
A,340.1,2.36,428.2,74.44,52,301.9,31.9
B,396.5,2.99,289.0,82.01,32,316.8,107.4
A,403.8,2.37,538.9,82.45,32,316.7,35.3
A,365.4,2.88,2840.1,92.42,43,316.7,81.9
D,302.2,2.1,230.7,66.0,103,300.6,38.0
B,313.8,2.19,257.0,87.28,85,299.3,84.3
D,354.8,2.12,620.9,73.12,45,307.5,32.4
C,325.8,2.25,1173.3,87.92,67,303.1,54.0
C,369.7,1.84,294.8,73.64,41,314.7,31.5
B,400.3,2.09,528.9,91.84,29,331.3,49.8
B,320.5,2.11,1057.2,95.07,71,304.8,35.4
B,323.1,3.27,1266.4,87.3,63,296.1,85.7
A,314.6,2.44,1136.7,88.95,75,294.1,127.0
C,342.4,2.34,435.8,88.04,50,297.6,31.9
A,351.6,2.8,262.5,75.21,52,303.3,73.1
A,350.6,2.32,344.3,77.46,50,314.4,37.9
C,376.9,2.62,395.2,84.28,34,293.7,31.8
A,361.8,2.76,385.9,79.36,47,296.7,38.9
D,348.2,2.74,159.0,90.89,50,308.8,32.5
D,351.2,2.49,560.5,62.39,54,293.1,40.4
D,352.6,2.54,499.8,90.67,52,312.1,32.2
B,348.3,2.64,2011.3,83.41,50,310.7,35.9
A,329.7,2.71,1056.4,82.72,58,313.0,57.4
D,313.9,2.64,189.5,81.12,86,287.8,49.3
B,354.3,2.56,757.3,87.69,52,305.0,66.4
D,335.0,2.12,446.8,82.84,66,289.4,37.6
D,365.8,2.72,203.4,81.96,47,310.6,34.2
D,352.2,2.02,154.5,71.42,48,304.2,36.5
A,350.4,2.51,311.1,83.85,43,298.4,33.0
B,379.5,2.56,695.0,88.73,39,318.5,43.0
D,307.9,1.91,367.0,91.8,85,295.3,35.3
B,403.1,2.21,1369.4,87.84,32,330.0,84.5
A,284.5,3.01,353.6,79.12,186,283.3,39.3
B,393.5,2.17,1120.9,90.8,38,324.0,51.1
D,356.0,2.73,170.6,84.31,47,316.1,98.2
C,334.3,2.02,380.4,92.45,56,284.6,53.5
B,305.9,1.94,2110.4,92.17,97,286.6,38.0
A,332.0,2.8,530.4,86.23,59,301.2,59.6
C,345.1,2.95,1486.9,93.4,50,309.2,40.0
D,355.8,2.51,117.7,88.33,47,290.6,36.8
A,393.4,2.66,239.9,92.8,34,315.0,52.9
B,352.2,3.04,301.8,77.08,49,301.2,65.5
D,359.6,2.42,1791.4,89.44,42,308.8,59.7
C,360.5,2.53,530.8,81.83,46,299.0,65.1
C,340.2,2.41,177.5,84.62,59,316.1,35.6
C,344.2,2.2,113.2,58.62,51,307.5,46.3
B,346.8,1.89,296.5,90.86,55,294.5,42.8
A,368.8,2.15,838.4,92.28,44,318.1,37.3
D,322.6,2.96,860.1,89.72,70,271.6,32.6
D,334.8,3.15,504.7,70.86,55,309.1,33.7
D,360.7,2.07,1312.2,91.64,46,302.7,44.8
D,317.7,2.8,165.2,80.3,76,295.4,74.1
B,353.4,2.4,808.3,88.69,49,306.9,35.5
B,333.6,3.11,888.0,90.89,65,303.8,55.3
C,365.2,2.49,400.0,84.27,43,305.0,31.7
C,391.2,2.23,785.2,78.59,34,316.6,52.5
C,333.7,2.58,236.2,76.21,63,294.1,51.1
C,372.7,1.91,439.6,88.91,39,317.9,34.8
D,356.0,2.56,216.8,82.01,51,313.5,32.1
B,338.5,2.38,451.2,81.76,57,302.7,33.9
B,350.2,2.38,672.9,77.93,44,308.5,63.5
A,388.9,2.25,101.3,56.2,32,315.4,40.7
B,344.8,2.18,148.1,67.71,56,300.3,76.6
A,389.3,2.62,430.4,69.76,33,319.3,51.5
B,346.4,2.53,151.7,80.81,57,315.2,40.3
B,307.6,2.41,315.7,62.27,74,284.8,56.1
A,345.6,2.65,1143.0,89.32,57,305.6,76.4
B,305.3,2.46,610.2,89.34,118,278.7,73.8
A,340.5,2.4,247.3,95.09,59,299.7,50.8
A,339.3,2.22,116.1,88.71,64,294.3,56.9
D,404.5,2.93,284.6,80.97,31,320.6,99.8
B,398.3,3.41,1790.0,85.16,35,317.9,82.7
A,352.6,1.54,314.2,72.16,47,320.2,52.7
B,386.3,2.4,207.1,65.88,33,315.5,78.5
C,338.1,2.43,388.3,84.18,59,299.8,44.4
A,307.2,2.56,772.6,87.93,81,280.8,53.4
C,365.8,3.61,1076.0,80.79,40,310.3,32.3
A,360.8,2.52,141.3,71.07,45,292.6,44.3
A,321.9,2.36,302.5,94.12,72,306.3,79.7
B,323.2,2.74,1083.3,95.35,62,293.5,57.5
B,378.2,2.83,326.0,82.76,36,296.6,41.0
C,299.5,2.26,343.9,65.17,103,288.3,34.5
C,366.7,2.47,1061.7,92.53,43,294.2,68.4
D,340.6,2.48,407.9,83.26,55,303.0,43.4
B,366.8,3.14,174.2,86.48,45,319.4,56.5
B,379.6,2.56,274.4,81.26,36,314.5,33.7
C,323.8,2.68,638.6,80.49,73,302.6,44.3
A,315.8,2.26,306.8,82.54,81,288.6,47.6
B,394.0,2.68,508.9,85.97,34,321.9,42.0
A,348.3,2.44,284.9,86.53,50,307.9,42.4
A,359.8,2.4,1184.1,86.98,50,305.7,71.0
D,377.3,2.27,866.9,85.78,41,331.0,74.8
D,321.2,2.58,211.8,86.9,70,302.9,31.1
C,377.1,2.44,619.2,92.97,39,312.7,30.7
B,369.2,2.11,146.0,94.96,39,306.9,53.6
A,394.1,2.14,325.7,89.15,34,334.1,68.4
A,393.6,2.58,513.3,81.92,35,318.2,65.3
A,351.9,2.54,1636.2,83.6,46,307.4,31.9
B,372.6,2.75,819.9,95.69,43,306.0,56.0
C,351.3,2.55,321.1,88.99,49,290.6,33.3
C,354.4,2.06,1446.8,93.73,44,301.2,95.3
A,316.1,2.73,218.1,80.32,75,305.4,43.8
D,343.3,2.16,994.5,79.62,52,299.2,123.8
C,296.2,2.91,458.2,70.78,83,290.8,54.9
B,345.9,2.88,1529.2,91.26,48,309.3,39.0
C,389.6,2.26,409.3,83.21,31,321.8,101.6
B,373.3,2.17,106.9,73.06,41,326.7,40.0
A,353.4,2.02,301.2,81.79,46,321.5,39.1
B,343.9,1.98,256.8,62.74,55,305.8,53.4
C,333.8,3.15,2112.2,87.29,56,289.5,32.0
A,322.4,2.18,306.9,93.0,65,292.8,48.9
A,374.6,2.34,386.5,72.47,44,305.6,34.8
A,303.9,3.49,1612.4,84.93,96,290.8,30.2
A,303.3,2.96,1133.1,85.64,104,291.7,36.6
D,377.1,2.91,181.8,82.55,41,315.8,34.2
C,356.2,2.77,1011.8,81.93,47,314.8,31.8
B,351.3,2.92,628.5,88.46,48,315.9,33.9
A,356.2,1.56,144.1,60.81,50,309.6,74.0
B,410.3,2.45,108.5,73.32,30,323.7,48.5
B,351.7,2.23,1385.8,95.77,44,289.4,47.9
A,358.8,1.87,377.4,88.9,47,322.6,46.6
B,411.7,1.91,887.3,94.57,31,318.2,43.9
B,348.1,2.43,133.7,65.08,54,314.4,31.4
C,401.8,1.94,1024.9,65.65,33,326.7,91.0
C,286.8,2.41,519.3,83.32,122,273.7,51.9
A,315.1,2.32,211.5,75.96,82,305.8,39.1
B,330.0,3.15,247.3,75.63,62,291.0,68.8
C,367.5,2.76,2128.0,86.54,40,304.6,48.3
B,403.2,2.85,446.6,90.94,30,331.5,68.5
D,332.3,2.07,195.5,80.28,63,304.4,36.1
C,379.3,3.01,646.2,77.82,39,320.0,37.6
A,417.1,2.74,141.0,93.23,30,312.0,67.5
A,396.9,2.46,804.6,78.31,31,313.1,44.2
C,337.9,1.92,1148.7,91.14,61,283.5,34.6
A,376.1,2.66,204.8,91.35,39,309.7,32.4
B,360.2,2.38,412.4,85.39,47,300.9,39.5
D,330.2,2.23,1214.8,85.76,61,292.0,43.4
B,362.8,2.6,916.4,93.81,42,309.7,33.3
B,335.8,2.35,117.0,81.05,64,312.7,45.7
C,353.7,2.46,176.1,79.45,50,302.6,30.9
B,308.6,2.01,2163.0,93.49,89,276.6,67.9
B,297.1,1.88,249.1,85.72,91,285.1,82.1
D,341.4,3.08,473.9,92.4,59,302.4,61.9
B,359.5,2.02,118.7,69.78,46,320.9,82.0
D,316.2,2.04,179.5,79.91,78,282.9,49.9
D,365.8,2.26,377.4,73.84,42,307.4,59.6
A,351.3,2.84,222.6,88.11,46,296.3,49.8
A,369.5,2.24,554.3,78.51,40,321.3,71.8
A,378.4,2.44,1563.4,79.46,37,309.2,44.1
A,390.3,2.13,730.5,87.94,33,304.5,39.2
A,368.1,2.96,555.4,63.16,42,287.7,44.7
C,341.1,1.66,114.9,75.3,56,307.1,44.6
A,355.7,2.59,1006.9,92.75,41,312.6,67.9
B,419.9,3.27,547.4,80.02,26,324.0,39.2
D,379.6,2.39,228.1,91.79,40,308.7,31.9
A,352.1,2.13,727.8,93.28,51,313.0,62.6
D,345.5,1.63,734.3,95.21,55,310.9,46.9
A,332.1,2.64,607.6,77.2,67,302.5,32.7
A,314.4,2.87,605.1,89.89,76,294.0,41.7
C,401.2,2.95,440.8,88.8,38,310.1,42.8
C,364.4,3.09,411.5,81.11,47,314.5,47.6
D,311.9,2.81,114.2,92.85,79,284.0,49.4
C,346.2,1.85,965.7,88.87,49,310.4,35.4
D,388.1,2.98,1495.6,76.96,30,327.5,67.1
A,336.6,2.16,1526.5,80.81,54,297.2,66.7
A,325.6,2.34,569.8,86.18,69,297.0,90.8
C,360.7,2.79,612.9,77.84,45,314.2,87.1
D,369.7,2.64,519.9,69.4,42,303.2,48.8
D,336.6,2.16,343.0,82.03,55,288.5,44.2
B,332.0,2.65,1047.3,82.43,66,313.6,30.7
B,363.8,1.41,100.1,70.47,42,302.8,65.8
C,316.3,2.85,259.3,85.1,77,303.8,71.1
B,333.9,2.31,1396.3,87.35,56,302.8,47.2
D,346.4,3.29,189.5,86.61,49,308.7,38.2
D,372.2,2.37,1169.2,77.18,37,299.7,35.9
B,337.2,2.99,864.0,81.27,53,304.7,36.7
C,366.9,2.87,617.8,62.04,40,298.8,31.2
C,385.0,2.82,598.7,82.59,33,300.5,50.2
A,334.8,2.82,377.0,91.01,58,310.1,74.2
D,446.7,2.7,114.0,86.05,23,338.9,37.3
B,392.6,2.76,593.7,88.59,37,328.5,34.6
D,358.2,2.8,235.5,88.44,50,308.0,39.9
B,344.5,2.4,216.3,85.39,56,316.1,66.9
D,333.3,2.24,266.1,89.05,60,303.2,60.0
B,399.8,2.3,310.8,76.62,33,321.3,44.7
A,356.3,2.38,204.1,69.32,40,308.3,39.3
D,306.8,2.58,2063.6,95.67,89,294.6,36.4
A,298.6,2.8,605.7,77.46,112,292.5,33.0
B,353.4,2.53,356.3,79.23,50,299.7,61.8
D,354.0,2.88,124.1,84.33,44,291.9,55.7
D,322.5,2.51,1026.0,86.43,70,305.4,42.1
B,304.6,3.37,325.7,88.88,89,292.4,39.9
C,291.1,2.53,594.9,69.59,118,285.0,31.3
B,327.2,2.48,828.7,66.71,75,289.9,40.6
A,339.1,2.23,600.2,81.38,53,298.5,40.9
B,370.8,2.95,717.8,87.99,44,297.9,142.7
C,346.1,2.92,403.5,61.34,55,302.2,50.8
C,381.9,3.14,126.6,79.75,38,325.1,33.2
C,368.2,3.02,1134.4,92.56,39,295.1,33.5
C,365.4,2.52,169.2,89.81,44,309.9,55.2
A,379.4,2.03,1558.3,89.78,40,311.7,50.0
B,308.4,2.58,781.8,84.43,95,280.4,43.3
A,333.9,2.92,647.2,88.93,54,303.0,38.7
B,422.0,2.47,485.9,86.68,28,336.2,35.9
B,292.8,2.33,1114.6,87.41,111,281.0,39.6
D,341.1,2.38,937.1,77.11,57,299.7,45.3
B,364.3,3.01,286.9,92.41,45,303.1,52.0
A,293.7,2.36,365.4,62.09,103,295.1,36.1
A,327.4,2.78,253.3,71.25,57,307.5,79.1
C,409.9,2.86,240.5,82.41,30,327.0,55.0
C,355.1,2.74,656.5,78.03,47,314.9,70.1
A,332.8,2.24,1376.1,89.92,67,294.1,32.8
A,356.3,2.39,1068.8,90.25,49,283.7,49.6
C,332.7,1.86,228.1,90.91,65,299.1,56.4
A,401.4,2.35,1466.9,81.61,26,324.5,38.9
D,320.3,1.81,397.5,68.49,72,284.7,45.4
C,334.3,2.91,300.3,96.43,64,307.9,32.5
A,305.2,1.99,214.3,77.2,80,298.0,56.0
A,341.1,2.07,644.7,76.95,55,315.7,43.1
D,344.8,2.38,395.8,75.35,48,301.4,83.4
B,385.9,2.29,455.2,64.77,35,318.3,48.6
B,319.5,3.28,245.9,87.14,75,294.4,56.1
D,364.5,2.97,656.5,72.33,45,303.0,43.3
D,352.6,2.4,162.4,83.86,53,289.0,38.1
D,293.2,3.12,1218.5,80.71,103,303.2,57.6
C,328.2,2.68,560.7,88.36,56,302.0,43.3
B,327.0,2.49,405.2,84.95,57,304.4,41.3
A,400.5,2.13,192.7,94.85,30,310.9,45.2
C,366.4,2.26,507.7,90.06,46,300.8,49.7
B,354.3,3.37,267.8,86.69,53,302.0,30.7
B,221.1,2.69,1002.6,92.16,0,271.8,40.6
D,292.8,2.4,462.2,88.17,124,278.8,41.1
A,371.8,2.53,101.3,63.95,44,310.4,47.6
B,373.5,2.56,367.1,71.34,40,307.4,84.2
A,327.7,2.48,1181.2,88.16,56,282.2,36.3
B,350.8,1.52,294.9,90.28,46,300.2,71.6
A,348.7,2.84,215.5,82.79,47,302.4,32.3
A,355.1,3.21,133.6,91.99,46,322.4,34.0
A,338.8,2.61,311.0,85.73,55,299.5,40.9
C,374.5,2.68,1337.5,86.93,39,309.6,48.8
C,383.2,2.17,277.4,75.55,40,310.4,56.3
B,321.2,2.35,211.8,74.96,76,297.5,41.9
D,314.2,2.65,367.8,83.28,78,296.6,74.5
B,326.1,2.57,428.2,67.26,62,303.3,34.9
A,351.5,2.43,1447.7,84.24,46,305.0,56.6
D,360.7,2.92,378.6,81.57,44,321.2,36.4
A,373.7,2.57,1436.8,93.09,34,329.5,30.4
D,379.1,2.73,112.4,64.7,40,318.1,54.0
A,360.9,2.29,158.4,53.04,55,304.2,32.5
D,356.9,2.85,212.7,84.81,43,316.2,62.3
A,399.5,2.09,364.2,75.45,32,310.8,57.0
D,350.2,2.5,233.3,74.22,54,302.0,56.1
B,367.7,2.65,1148.0,91.83,41,318.9,49.7
D,359.6,2.33,102.1,73.56,41,311.6,58.6
A,344.8,2.52,2640.0,83.77,58,302.7,65.3
B,345.0,2.77,345.2,78.52,52,311.4,36.9
D,389.7,2.78,302.6,81.66,34,325.0,32.0
B,347.3,2.49,713.1,92.11,50,297.0,41.3
C,339.4,2.34,575.1,80.59,58,301.2,42.8
C,327.9,2.67,312.6,87.33,70,290.6,40.7
B,362.7,3.34,134.5,90.74,45,293.8,54.9
C,334.6,2.73,914.7,86.67,55,308.3,94.4
B,360.0,3.18,617.1,90.78,42,307.4,34.1
D,355.3,2.59,3370.8,85.02,48,298.1,41.6
A,337.2,2.63,476.4,75.31,50,306.9,40.1
A,308.1,1.6,105.8,57.62,85,293.5,102.3
D,319.1,2.43,483.3,93.19,75,288.9,32.8
D,323.8,2.9,654.9,88.83,72,307.3,59.5
B,319.9,2.61,232.4,87.21,69,292.5,41.4
C,363.7,2.47,590.8,74.78,44,297.6,43.3
A,413.9,2.52,304.5,73.86,31,327.8,32.1
