Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
18,Zion Williamson\willizi01,PF,23,NOP,70,70,31.7,9.8,17.3,0.566,0.3,0.9,0.333,9.5,16.4,0.579,0.575,6.3,8.5,0.741,1.8,5.0,6.8,5.0,1.1,0.7,2.7,2.6,22.9
19,De'Aaron Fox\foxdear01,PG,26,SAC,79,79,34.9,9.5,19.5,0.487,1.5,4.1,0.366,8.0,15.4,0.519,0.526,5.1,6.2,0.823,0.5,3.4,3.9,5.4,1.6,0.3,2.5,2.2,25.4
20,Jalen Brunson\brunsja01,PG,27,NYK,77,77,35.8,9.6,21.0,0.457,2.4,6.1,0.393,7.2,14.9,0.483,0.514,5.1,5.9,0.864,0.3,2.7,3.0,6.7,0.9,0.2,2.1,1.9,28.7
21,Cade Cunningham\cunnica01,PG,22,DET,62,62,35.3,8.8,20.0,0.44,2.5,7.0,0.357,6.3,13.0,0.485,0.503,4.1,5.0,0.82,0.9,4.0,4.9,7.3,1.5,0.4,3.6,2.3,22.7
22,Paolo Banchero\banchpa01,PF,21,ORL,80,80,35.3,9.0,20.0,0.45,1.5,4.8,0.312,7.5,15.2,0.493,0.487,6.1,7.8,0.782,1.1,5.8,6.9,3.7,1.0,0.8,3.1,2.4,22.6
23,Anfernee Simons\simonan01,SG,24,POR,52,52,33.3,8.5,19.3,0.44,3.6,9.3,0.387,4.9,10.0,0.49,0.534,4.2,4.9,0.857,0.4,2.9,3.3,5.3,0.8,0.2,2.4,1.5,24.6
24,Alperen Sengun\senguam01,C,21,HOU,72,72,30.2,7.9,14.9,0.53,0.3,0.9,0.333,7.6,14.0,0.543,0.54,4.5,5.9,0.763,2.7,6.9,9.6,5.0,1.5,1.3,2.9,2.5,21.1
25,LeBron James\jamesle01,SF,39,LAL,71,71,35.3,9.8,19.5,0.503,2.1,5.5,0.382,7.7,14.0,0.55,0.556,5.3,7.0,0.757,1.1,6.9,8.0,8.3,1.3,0.6,3.5,1.8,25.7
26,Jimmy Butler\butliji01,SF,34,MIA,60,60,33.3,7.7,15.9,0.484,0.5,1.5,0.333,7.2,14.4,0.5,0.5,8.3,9.9,0.838,1.2,4.8,6.0,5.0,1.3,0.3,2.7,1.7,20.8
27,Paul George\georgpa01,SF,33,LAC,74,74,37.2,8.7,19.7,0.442,3.0,7.7,0.39,5.7,12.0,0.475,0.518,3.7,4.3,0.86,0.9,5.0,5.9,3.5,1.5,0.4,2.9,2.3,22.6
28,Kyrie Irving\irvingky01,PG,31,DAL,55,55,35.6,10.0,20.2,0.495,2.9,7.1,0.408,7.1,13.1,0.542,0.567,3.5,4.1,0.854,0.6,4.4,5.0,5.2,1.3,0.5,2.3,2.0,25.6
29,Evan Mobley\mobleen01,C,22,CLE,76,76,34.0,7.5,14.4,0.521,0.9,2.5,0.36,6.6,11.9,0.555,0.552,3.2,4.2,0.762,2.3,7.8,10.1,2.9,1.2,1.7,1.8,2.5,15.7
30,Pascal Siakam\siakapa01,PF,29,IND,58,58,34.9,8.8,18.5,0.476,1.1,3.2,0.344,7.7,15.3,0.503,0.505,4.6,5.7,0.807,1.5,6.5,8.0,3.7,1.0,0.6,2.6,2.4,21.3
31,OG Anunoby\anunoOG01,SF,26,NYK,34,34,30.0,5.7,12.2,0.467,2.2,5.4,0.407,3.5,6.8,0.515,0.557,2.2,2.7,0.815,1.4,4.4,5.8,1.9,1.6,0.8,1.3,2.3,14.7
32,Mikal Bridges\bridgmi01,SF,27,NYK,82,82,36.6,7.5,17.4,0.431,2.8,7.4,0.378,4.7,10.0,0.47,0.511,2.5,2.9,0.862,0.9,3.9,4.8,3.7,1.2,0.5,1.6,2.4,19.6
33,Brandon Ingram\ingrabr01,SF,26,NOP,20,20,30.7,7.5,16.3,0.46,1.6,4.3,0.372,5.9,12.0,0.492,0.509,4.6,5.6,0.821,0.9,5.1,6.0,5.7,0.9,0.6,2.6,1.7,20.8
34,Jaylen Brown\brownja01,SG,27,BOS,70,70,33.3,9.1,18.5,0.492,2.5,6.7,0.373,6.6,11.8,0.559,0.559,2.9,3.6,0.806,1.2,4.9,6.1,3.6,1.2,0.5,2.4,2.3,23.0
35,CJ McCollum\mccolcj01,SG,32,NOP,55,55,32.3,8.0,18.3,0.437,3.2,7.9,0.405,4.8,10.4,0.462,0.525,2.3,2.6,0.885,0.4,2.7,3.1,4.3,1.0,0.3,1.8,2.0,21.5
36,Fred VanVleet\vanvlfr01,PG,29,HOU,72,72,33.7,6.5,16.3,0.399,3.0,8.2,0.366,3.5,8.1,0.432,0.491,3.8,4.5,0.844,0.5,3.0,3.5,6.8,1.5,0.3,2.4,2.8,19.7
37,Domantas Sabonis\sabondo01,C,27,SAC,79,79,33.3,8.4,14.6,0.575,0.3,1.0,0.3,8.1,13.6,0.596,0.586,3.7,5.2,0.712,3.0,9.7,12.7,8.2,1.1,0.4,2.7,2.4,19.9
38,Kristaps Porzingis\porzikr01,C,28,BOS,57,57,29.4,7.0,14.2,0.493,1.7,4.5,0.378,5.3,9.7,0.546,0.553,5.0,5.7,0.877,0.9,5.8,6.7,1.6,0.7,1.9,1.7,2.3,20.1
39,Rudy Gobert\goberru01,C,31,MIN,76,76,31.6,5.9,9.4,0.628,0.0,0.0,0.0,5.9,9.4,0.628,0.628,4.1,5.5,0.745,4.4,9.3,13.7,3.5,0.9,2.1,1.8,2.8,14.0
40,Jaren Jackson Jr.\jacksja02,C,24,MEM,56,56,29.9,6.7,14.0,0.479,1.4,4.2,0.333,5.3,9.8,0.541,0.529,3.3,4.2,0.786,1.4,5.8,7.2,2.1,1.1,2.9,1.7,2.3,22.2
41,Tyrese Maxey\maxeyty01,PG,23,PHI,70,70,35.7,9.1,19.0,0.479,3.8,9.5,0.4,5.3,9.5,0.558,0.579,4.5,5.0,0.9,0.7,3.0,3.7,6.2,1.2,0.4,2.6,1.9,25.9
42,Anthony Davis\davisan01,C,30,LAL,76,76,35.5,10.0,19.2,0.521,0.2,0.7,0.286,9.8,18.5,0.53,0.526,6.3,8.3,0.759,2.9,9.9,12.8,3.5,1.2,2.3,2.3,2.4,24.7
43,Jalen Williams\willija05,SF,22,OKC,74,74,33.0,8.4,16.7,0.503,1.6,4.3,0.372,6.8,12.4,0.548,0.551,6.3,7.3,0.863,0.8,4.2,5.0,5.9,1.3,0.6,2.2,2.0,24.1
44,Khris Middleton\middlkh01,SF,32,MIL,36,36,31.1,6.6,14.4,0.458,2.3,5.9,0.39,4.3,8.5,0.506,0.538,4.0,4.6,0.87,0.9,4.1,5.0,4.1,1.0,0.4,2.3,2.0,15.1
45,Tyler Herro\herroTy01,SG,24,MIA,78,78,33.3,8.1,18.1,0.448,2.7,7.1,0.38,5.4,11.0,0.491,0.522,4.2,4.9,0.857,0.4,3.5,3.9,4.5,1.1,0.4,2.5,2.1,20.8
46,Scottie Barnes\barnesch02,PF,22,TOR,60,60,35.1,7.8,16.8,0.464,1.6,4.8,0.333,6.2,12.0,0.517,0.512,3.7,4.9,0.755,1.4,7.0,8.4,6.1,1.3,0.9,2.7,2.6,19.9
47,Derrick White\whited01,SG,29,BOS,73,73,30.6,5.8,12.9,0.45,2.6,6.3,0.413,3.2,6.6,0.485,0.55,1.9,2.3,0.826,0.9,3.6,4.5,5.2,1.2,0.8,1.4,2.3,15.2
48,Brook Lopez\lopezBR01,C,35,MIL,73,73,28.1,5.6,11.4,0.491,2.6,6.4,0.406,3.0,5.0,0.6,0.605,1.7,2.1,0.81,2.3,4.0,6.3,1.4,0.8,2.3,1.2,2.3,12.5
49,Jordan Poole\pooleJo01,SG,24,WAS,72,72,32.8,6.9,16.8,0.411,2.9,7.8,0.372,4.0,9.0,0.444,0.497,4.3,5.0,0.86,0.3,2.8,3.1,4.5,1.0,0.3,2.6,2.2,17.0
50,Cam Thomas\thomaca05,SG,22,BRK,31,31,31.7,7.6,17.5,0.434,2.0,5.5,0.364,5.6,12.0,0.467,0.491,5.8,6.9,0.841,0.5,3.2,3.7,3.7,0.9,0.2,2.5,2.0,22.5
51,Luke Lopez\lopezlu01,PG,33,PHO,12,2,19.2,1.3,2.1,0.619,0.2,0.5,0.313,1.1,1.6,0.706,0.667,4.5,5.7,0.788,0.7,0.8,1.5,6.6,0.3,0.4,0.6,0.5,7.3
52,Naz Scott\scottna01,SF,34,LAC,1,0,3.3,0.4,1.1,0.364,0.1,0.4,0.314,0.3,0.7,0.388,0.409,0.6,0.8,0.691,1.5,6.5,8.0,0.8,0.7,0.0,3.6,1.4,1.5
53,Marcus Robinson\robinma01,PF,28,NOP,11,3,33.3,1.4,3.2,0.437,0.6,1.7,0.377,0.8,1.5,0.546,0.531,8.6,12.0,0.719,0.9,6.6,7.5,0.7,1.9,0.4,0.3,1.6,12.0
54,Marcus Young\youngma01,PG,38,NYK,75,70,10.6,1.0,2.1,0.476,0.1,0.3,0.329,0.9,1.8,0.499,0.5,5.4,7.7,0.703,0.1,1.4,1.5,0.7,0.1,1.5,0.1,3.5,7.5
55,Kessler Hall\hallke01,PG,22,LAC,59,38,15.7,2.8,5.4,0.519,1.5,3.1,0.471,1.3,2.3,0.563,0.657,0.6,0.9,0.66,0.6,7.3,7.9,0.8,0.4,0.1,2.3,2.7,7.7
56,Precious Williams\willipr01,SF,37,PHO,81,10,36.0,0.2,0.5,0.4,0.1,0.3,0.306,0.1,0.2,0.517,0.5,2.6,3.1,0.852,1.0,8.4,9.4,0.7,0.1,0.0,2.0,1.9,3.1
57,Marcus Baker\bakerma01,C,36,PHI,78,24,17.7,7.7,18.3,0.421,3.9,11.9,0.328,3.8,6.4,0.598,0.527,0.3,0.3,0.938,1.1,0.7,1.8,0.9,0.0,0.1,0.5,2.4,19.6
58,Josh Wright\wrighjo01,SG,34,PHI,33,23,14.7,0.9,2.4,0.375,0.2,0.6,0.316,0.7,1.8,0.413,0.417,0.9,1.7,0.522,1.6,0.6,2.2,1.2,0.6,0.4,0.8,1.2,2.9
59,James Wilson\wilsoja01,PF,37,ATL,15,3,14.3,2.4,5.2,0.462,0.3,0.9,0.337,2.1,4.3,0.495,0.49,2.7,3.2,0.842,0.6,3.6,4.2,0.6,0.2,0.1,0.2,1.7,7.8
60,Ja Walker\walkeja01,PG,24,GSW,59,44,26.9,4.0,8.5,0.471,1.5,3.7,0.416,2.5,4.8,0.513,0.559,3.0,4.3,0.698,0.1,1.8,1.9,5.3,0.1,0.0,0.1,1.6,12.5
61,Luke Taylor\taylolu01,PF,37,OKC,76,71,14.2,1.6,4.0,0.4,0.4,0.8,0.452,1.2,3.2,0.37,0.45,4.6,5.7,0.8,0.8,2.5,3.3,2.8,0.2,0.7,0.8,2.9,8.2
62,Marcus Wright\wrighma01,SG,28,BRK,13,12,2.0,0.9,2.4,0.375,0.3,0.7,0.36,0.6,1.7,0.361,0.438,3.2,4.2,0.757,0.8,1.1,1.9,0.3,1.1,0.2,1.6,1.4,5.3
63,Trey Thompson\thomptr01,SF,21,SAC,6,2,7.6,0.2,0.5,0.4,0.1,0.3,0.362,0.1,0.2,0.437,0.5,0.6,0.7,0.861,1.1,2.4,3.5,0.8,0.8,0.0,0.5,0.8,1.1
64,Marcus Clark\clarkma01,PF,32,SAC,76,25,13.6,0.4,0.9,0.444,0.1,0.3,0.44,0.3,0.6,0.566,0.5,3.0,3.6,0.832,0.6,1.6,2.2,0.6,2.1,0.0,1.1,2.6,3.9
65,Nic Jones\jonesni01,SF,38,DEN,28,4,17.9,0.3,0.5,0.6,0.1,0.2,0.332,0.2,0.3,0.515,0.7,2.1,2.8,0.761,1.2,4.3,5.5,1.5,0.8,1.4,0.3,1.8,2.8
66,Miles Hill\hillmi01,PG,28,SAC,51,7,4.9,0.3,0.5,0.6,0.1,0.2,0.372,0.2,0.3,0.657,0.7,3.7,4.6,0.799,0.0,0.0,0.0,1.5,0.2,0.1,1.2,2.6,4.4
67,Miles Moore\mooremi01,PG,22,WAS,65,3,20.6,0.3,0.6,0.5,0.2,0.4,0.436,0.1,0.2,0.666,0.667,3.4,3.8,0.903,0.2,5.9,6.1,0.2,0.2,0.2,0.1,1.5,4.2
68,Chris Johnson\johnsch01,SF,36,LAC,80,66,14.9,1.0,2.5,0.4,0.2,0.7,0.333,0.8,1.8,0.45,0.44,5.8,6.8,0.855,1.0,1.1,2.1,0.1,0.6,0.1,0.0,1.1,8.0
69,Jordan Perez\perezjo01,PF,29,MIL,6,2,9.7,0.3,0.5,0.6,0.1,0.2,0.362,0.2,0.3,0.518,0.7,3.9,4.7,0.821,0.4,0.8,1.2,7.8,0.3,0.1,0.3,1.6,4.6
70,Tyler Taylor\tayloty01,SF,20,UTA,25,6,16.8,5.3,13.4,0.396,3.6,9.5,0.375,1.7,3.9,0.444,0.53,0.2,0.3,0.593,0.6,1.8,2.4,2.5,1.9,1.4,0.7,3.0,14.4
71,Naz King\kingna01,PF,36,BRK,6,5,36.0,9.3,20.0,0.465,3.9,9.8,0.394,5.4,10.2,0.526,0.562,0.9,1.2,0.789,0.6,0.7,1.3,0.5,0.8,0.0,2.0,2.7,23.4
72,Miles Baker\bakermi01,PG,21,MIA,29,4,16.1,1.9,4.0,0.475,0.6,1.3,0.451,1.3,2.7,0.481,0.55,4.3,5.8,0.747,1.9,0.8,2.7,3.3,1.0,0.2,1.9,0.8,8.7
73,Jaden Clark\clarkja01,PG,31,SAS,33,4,17.9,0.2,0.6,0.333,0.1,0.3,0.377,0.1,0.3,0.39,0.417,4.3,5.0,0.854,0.1,7.6,7.7,0.9,0.0,0.5,1.5,2.8,4.8
74,Obi Lewis\lewisob01,SF,33,MIA,69,18,27.1,8.0,20.0,0.4,2.8,8.3,0.337,5.2,11.7,0.441,0.47,0.3,0.4,0.742,0.8,3.0,3.8,2.1,1.1,0.3,0.1,2.6,19.1
75,Luke Adams\adamslu01,PF,30,MIL,81,67,17.5,0.5,1.2,0.417,0.2,0.7,0.264,0.3,0.5,0.552,0.5,1.5,2.0,0.739,1.6,2.4,4.0,1.6,0.1,0.1,1.3,2.1,2.7
76,Jordan Taylor\taylojo01,C,25,DEN,31,3,23.5,4.0,9.2,0.435,2.9,6.8,0.423,1.1,2.4,0.467,0.592,3.3,5.6,0.59,0.2,0.9,1.1,2.4,0.5,0.0,0.7,2.3,14.2
77,Matisse Baker\bakerma01,SG,22,WAS,48,9,23.2,1.0,2.6,0.385,0.5,1.4,0.388,0.5,1.2,0.415,0.481,6.2,6.7,0.919,0.2,0.4,0.6,1.5,0.2,0.8,2.2,1.9,8.7
78,Tre Gonzalez\gonzatr01,PG,24,CHA,40,37,7.5,9.7,20.0,0.485,3.8,10.8,0.353,5.9,9.2,0.64,0.58,0.1,0.1,0.747,1.4,3.4,4.8,1.7,0.2,1.2,1.4,2.6,23.3
79,Matisse Moore\moorema01,PF,21,LAC,3,2,24.2,3.1,5.1,0.608,0.2,0.7,0.356,2.9,4.4,0.661,0.627,0.4,0.6,0.748,5.0,3.1,8.1,0.0,0.3,0.2,1.1,1.8,6.8
80,Aaron Clark\clarkaa01,SF,35,DEN,80,55,13.4,6.0,12.9,0.465,2.9,6.6,0.436,3.1,6.3,0.485,0.578,1.4,1.9,0.736,0.2,2.8,3.0,1.4,0.5,0.0,0.3,1.6,16.3
81,Obi Johnson\johnsob01,SF,23,CHI,70,9,15.8,0.4,0.9,0.444,0.2,0.5,0.45,0.2,0.4,0.592,0.556,0.7,0.9,0.799,0.4,1.2,1.6,2.3,2.4,1.4,1.4,2.3,1.7
82,Matisse Mitchell\mitchma01,PG,22,POR,52,37,18.8,1.2,2.6,0.462,0.6,1.5,0.395,0.6,1.1,0.588,0.577,2.9,3.9,0.751,1.8,0.1,1.9,0.6,0.5,0.5,1.2,1.9,5.9
83,Josh Hill\hilljo01,PG,34,BOS,67,66,8.7,0.5,1.0,0.5,0.2,0.4,0.441,0.3,0.6,0.533,0.6,0.6,0.8,0.776,0.5,1.2,1.7,0.2,1.1,1.5,1.1,0.5,1.8
84,Kevin Davis\daviske01,C,37,CHI,21,14,26.0,7.0,20.0,0.35,0.8,2.8,0.277,6.2,17.2,0.361,0.37,0.7,0.8,0.843,0.1,1.8,1.9,0.6,0.8,0.5,0.0,0.9,15.5
85,Matisse Robinson\robinma01,PG,29,MIL,36,19,26.7,0.2,0.5,0.4,0.0,0.1,0.296,0.2,0.4,0.495,0.4,0.1,0.2,0.639,0.5,2.2,2.7,0.0,0.1,0.3,2.9,1.7,0.5
86,Bennedict Clark\clarkbe01,C,31,DET,47,34,36.0,1.7,3.5,0.486,0.9,2.1,0.423,0.8,1.4,0.564,0.614,1.3,1.5,0.847,0.1,2.3,2.4,3.4,0.2,0.0,1.8,3.6,5.6
87,Miles Hernandez\hernami01,PG,35,CHI,47,42,14.6,0.3,0.8,0.375,0.2,0.5,0.303,0.1,0.3,0.49,0.5,2.1,2.8,0.747,0.1,2.7,2.8,1.3,0.6,1.1,4.0,2.1,2.9
88,Kyle Wright\wrighky01,SG,29,BOS,4,1,16.1,0.8,1.4,0.571,0.1,0.3,0.2,0.7,1.1,0.639,0.607,0.8,1.2,0.654,0.8,1.1,1.9,0.1,0.0,0.2,0.8,2.4,2.5
89,Tre Walker\walketr01,PG,27,BOS,81,57,34.9,2.8,6.5,0.431,0.8,2.4,0.348,2.0,4.1,0.5,0.492,1.2,1.5,0.802,0.1,1.7,1.8,0.2,0.3,0.7,1.0,1.2,7.6
90,Chris Davis\davisch01,SG,20,POR,68,42,3.8,6.7,15.1,0.444,1.7,5.2,0.318,5.0,9.9,0.506,0.5,0.7,1.1,0.646,0.5,4.9,5.4,7.1,0.9,0.1,1.6,2.8,15.8
91,Bennedict Young\youngbe01,SF,37,NOP,63,38,13.8,0.9,2.2,0.409,0.3,0.8,0.33,0.6,1.4,0.44,0.477,1.2,1.8,0.668,3.3,2.1,5.4,0.3,0.5,0.5,1.4,2.6,3.3
92,Josh Anderson\anderjo01,PG,22,SAS,30,14,32.8,0.7,1.3,0.538,0.3,0.5,0.533,0.4,0.8,0.496,0.654,5.7,6.6,0.859,0.9,0.1,1.0,0.4,1.3,1.0,0.6,1.9,7.4
93,Tre Lopez\lopeztr01,SF,23,LAL,56,21,11.9,2.3,6.2,0.371,0.8,3.3,0.257,1.5,2.9,0.516,0.435,2.5,2.7,0.916,0.7,1.0,1.7,0.4,0.1,1.1,0.0,0.8,7.9
94,Quentin Clark\clarkqu01,SG,24,MIN,1,0,36.0,1.4,3.6,0.389,1.0,2.9,0.353,0.4,0.7,0.504,0.528,1.4,2.0,0.702,0.4,3.0,3.4,3.2,0.7,0.3,2.9,0.1,5.2
95,Mike Anderson\andermi01,PG,36,HOU,27,21,15.1,1.8,3.6,0.5,0.4,1.2,0.301,1.4,2.4,0.565,0.556,1.2,1.6,0.734,0.1,0.4,0.5,0.9,0.2,0.2,0.5,1.7,5.2
96,Josh Jones\jonesjo01,C,38,CHA,17,8,9.5,4.9,9.5,0.516,1.9,4.7,0.403,3.0,4.8,0.633,0.616,1.0,1.2,0.807,0.5,1.5,2.0,0.4,0.9,0.1,0.0,1.7,12.7
97,Drew Hall\halldr01,SG,33,DAL,51,32,19.7,3.2,5.7,0.561,0.7,1.6,0.466,2.5,4.1,0.608,0.623,1.6,2.2,0.735,0.8,0.3,1.1,2.0,1.3,1.3,0.7,1.6,8.7
98,Nic King\kingni01,PG,24,BRK,46,12,19.5,1.6,3.0,0.533,0.5,1.2,0.393,1.1,1.8,0.619,0.617,0.9,1.1,0.829,1.6,0.5,2.1,0.0,0.5,0.7,1.4,0.7,4.6
99,Tyler Martin\martity01,PF,21,SAC,32,16,14.6,1.3,3.4,0.382,0.6,2.1,0.279,0.7,1.3,0.504,0.471,0.5,0.7,0.706,0.4,3.0,3.4,4.4,0.9,0.1,1.7,2.9,3.7
100,Gary Harris\harriga01,SG,28,CHI,43,1,15.1,4.8,14.4,0.333,1.7,5.4,0.316,3.1,9.0,0.348,0.392,2.7,3.9,0.7,1.3,0.2,1.5,2.0,0.7,0.5,1.1,4.0,14.0
101,Precious Wilson\wilsopr01,PF,28,LAL,77,37,20.5,1.4,3.4,0.412,0.7,1.6,0.43,0.7,1.8,0.411,0.515,2.2,3.0,0.719,2.7,3.8,6.5,5.1,0.8,0.7,0.0,1.4,5.7
102,Kevin Mitchell\mitchke01,PG,33,IND,19,9,15.2,5.4,12.3,0.439,2.4,5.4,0.449,3.0,6.9,0.441,0.537,0.2,0.2,0.938,1.3,1.1,2.4,0.5,0.2,0.9,3.6,1.6,13.4
103,James Gonzalez\gonzaja01,PG,37,PHO,33,9,10.4,0.3,0.5,0.6,0.1,0.2,0.369,0.2,0.3,0.511,0.7,2.9,3.5,0.817,0.1,0.6,0.7,4.0,1.0,0.6,2.4,0.9,3.6
104,Marcus Carter\cartema01,C,36,MIL,79,21,19.4,3.8,9.3,0.409,1.1,2.3,0.47,2.7,7.0,0.387,0.468,2.2,2.7,0.833,1.4,5.2,6.6,0.8,1.2,0.1,0.5,0.9,10.9
105,Kessler Walker\walkeke01,C,21,MIA,1,0,18.3,3.8,7.1,0.535,0.1,0.4,0.333,3.7,6.7,0.548,0.542,4.4,4.5,0.975,0.1,0.3,0.4,1.8,0.0,1.2,1.8,0.4,12.1
106,Derrick Anderson\anderde01,SF,28,WAS,46,4,4.8,0.3,0.6,0.5,0.1,0.2,0.376,0.2,0.4,0.484,0.583,0.9,1.3,0.684,1.4,0.0,1.4,4.3,0.8,0.1,3.9,1.7,1.6
107,Naz Allen\allenna01,SG,22,IND,51,6,22.1,0.5,1.0,0.5,0.2,0.5,0.321,0.3,0.5,0.558,0.6,1.7,2.0,0.847,0.6,1.2,1.8,0.3,1.4,0.2,0.6,2.2,2.9
108,Jaden Allen\allenja01,PG,34,UTA,59,11,18.2,9.4,20.0,0.47,3.4,10.5,0.322,6.0,9.5,0.627,0.555,0.2,0.2,0.826,0.0,3.8,3.8,1.1,0.8,0.6,0.0,1.7,22.4
109,David Brown\brownda01,C,34,GSW,49,16,31.6,3.6,9.2,0.391,1.4,3.8,0.375,2.2,5.4,0.416,0.467,0.5,1.1,0.469,3.0,0.8,3.8,0.9,0.7,0.0,5.0,1.3,9.1
110,Josh Scott\scottjo01,PG,25,ORL,79,76,14.9,2.3,4.7,0.489,0.8,2.0,0.399,1.5,2.7,0.538,0.574,6.1,6.7,0.909,0.4,1.7,2.1,1.9,0.4,1.1,1.7,1.4,11.5
111,Miles Thomas\thomami01,SG,35,WAS,73,62,9.6,3.6,9.5,0.379,2.0,5.4,0.371,1.6,4.1,0.385,0.484,2.0,3.2,0.618,0.3,3.6,3.9,1.4,0.2,0.0,0.1,2.1,11.2
112,Tre Garcia\garcitr01,PF,23,WAS,29,12,12.0,2.2,4.9,0.449,1.5,3.4,0.435,0.7,1.5,0.476,0.602,0.7,0.9,0.732,1.1,0.3,1.4,1.2,1.7,0.8,2.1,1.9,6.6
113,Aaron Thomas\thomaaa01,SG,21,PHI,32,22,30.3,5.3,12.4,0.427,2.4,6.9,0.349,2.9,5.5,0.526,0.524,3.3,5.2,0.627,1.0,0.2,1.2,3.9,2.1,0.1,0.6,2.2,16.3
114,Bennedict Harris\harribe01,SF,37,HOU,36,14,24.2,1.8,4.7,0.383,0.9,2.9,0.325,0.9,1.8,0.496,0.479,6.7,7.9,0.843,2.1,0.6,2.7,3.6,0.3,1.4,4.8,1.6,11.2
