cell_id,assembly_datetime,cell_type,factory,line,shift,capacity_mAh,internal_resistance_mOhm,production_temp_C,efficiency_pct,cycle_count,electrolyte_vol_mL,electrode_thickness_um,defect
CELL-000092,2024-12-11 12:41:50,LFP,Factory_C,L2,Morning,3900.7,13.15,21.2,96.689,134,8.423,100.54,Normal
CELL-000093,2023-08-23 08:16:18,NCA,Factory_B,L3,Morning,3902.1,12.066,22.84,97.325,11,8.978,100.75,Normal
CELL-000094,2023-11-21 16:45:22,NCM,Factory_B,L4,Night,3726.8,9.933,30.76,98.106,71,7.179,96.18,Normal
CELL-000095,2023-11-15 14:26:23,NCM,Factory_B,L3,Afternoon,3848.4,10.765,27.42,98.883,20,9.327,95.94,Normal
CELL-000096,2023-11-30 16:32:57,LFP,Factory_A,L3,Night,3858.7,8.769,21.92,97.346,176,7.325,96.3,Normal
CELL-000097,2023-03-19 20:00:03,NCA,Factory_C,L1,Morning,4015.5,10.584,26.79,98.092,113,8.541,96.36,Normal
CELL-000098,2023-09-22 00:13:03,LFP,Factory_A,L1,Afternoon,3342.3,77.842,22.14,93.873,47,8.233,91.29,Defective
CELL-000099,2023-11-07 11:31:43,LFP,Factory_B,L4,Afternoon,3912.1,12.122,31.39,97.325,4,8.63,101.23,Normal
CELL-000100,2023-10-06 15:21:10,NCM,Factory_B,L4,Morning,3903.0,9.524,23.31,96.312,85,8.7,93.26,Normal
CELL-000101,2023-07-25 19:47:15,LFP,Factory_C,L3,Afternoon,4005.7,11.441,28.9,97.281,7,8.517,101.43,Normal
CELL-000102,2023-12-22 03:31:14,NCA,Factory_A,L3,Night,3798.0,11.625,21.3,98.097,56,7.222,90.21,Normal
CELL-000103,2024-04-07 12:33:57,NCA,Factory_A,L3,Morning,3691.0,9.502,33.06,98.046,7,8.644,98.85,Normal
CELL-000104,2023-04-22 01:33:42,NCA,Factory_C,L2,Afternoon,3164.2,45.115,22.26,93.624,7,8.729,92.05,Defective
CELL-000105,2024-07-16 12:15:41,LFP,Factory_A,L4,Night,3399.3,20.26,19.78,94.535,35,8.708,98.03,Defective
CELL-000106,2024-01-16 09:42:38,NCM,Factory_C,L1,Afternoon,3915.2,10.918,22.81,98.082,204,9.017,96.99,Normal
CELL-000107,2023-04-16 10:42:55,LFP,Factory_C,L1,Morning,3760.1,10.998,32.0,98.774,74,9.171,92.57,Normal
CELL-000108,2023-05-28 06:04:11,LFP,Factory_C,L1,Morning,3792.6,9.087,31.28,96.805,33,8.099,94.08,Normal
CELL-000109,2023-05-28 07:50:38,LFP,Factory_A,L1,Afternoon,3914.6,12.676,30.89,98.111,57,9.239,96.36,Normal
CELL-000110,2024-10-29 08:20:11,NCM,Factory_B,L4,Morning,3752.4,9.857,22.28,98.593,515,7.715,99.01,Normal
CELL-000111,2023-04-07 00:53:11,NCM,Factory_A,L4,Night,3840.9,10.344,27.66,97.192,21,9.246,95.1,Normal
CELL-000112,2024-01-14 08:43:43,LFP,Factory_C,L2,Afternoon,3923.7,8.555,23.24,96.895,310,8.784,96.0,Normal
CELL-000113,2023-03-28 14:29:08,NCA,Factory_B,L3,Afternoon,3720.1,9.77,21.74,96.686,236,8.541,92.73,Normal
CELL-000114,2023-11-12 09:50:55,NCM,Factory_A,L2,Afternoon,3791.4,6.511,32.0,95.996,248,9.328,95.04,Normal
CELL-000115,2024-03-10 20:13:44,NCA,Factory_B,L2,Morning,3872.3,8.773,22.68,96.113,35,8.733,96.89,Normal
CELL-000116,2024-07-03 19:28:27,LFP,Factory_C,L4,Night,3774.7,9.518,22.27,98.447,197,7.819,93.25,Normal
CELL-000117,2023-12-26 16:30:51,NCM,Factory_A,L3,Afternoon,3775.8,8.564,28.86,97.606,91,9.199,94.22,Normal
CELL-000118,2024-06-14 09:44:17,NCM,Factory_C,L3,Afternoon,3836.5,11.738,31.12,96.884,78,8.751,92.7,Normal
CELL-000119,2023-05-14 17:35:45,NCM,Factory_A,L1,Night,3764.0,9.868,22.91,98.198,43,8.183,94.29,Normal
CELL-000120,2024-07-20 00:43:38,NCM,Factory_B,L3,Morning,3885.6,9.504,29.15,96.006,234,7.943,89.7,Normal
CELL-000121,2024-08-16 06:16:09,NCA,Factory_A,L4,Night,3861.5,10.587,30.58,98.406,118,9.346,94.54,Normal
CELL-000122,2024-12-02 22:50:18,NCA,Factory_A,L1,Night,3711.8,10.995,27.11,97.464,17,8.441,90.11,Normal
CELL-000123,2024-02-27 04:24:58,LFP,Factory_A,L2,Afternoon,3925.8,9.477,22.03,96.738,245,7.453,96.51,Normal
CELL-000124,2024-08-07 08:49:51,NCA,Factory_C,L2,Morning,3801.8,10.22,30.62,97.258,86,9.503,91.04,Normal
CELL-000125,2023-07-03 02:45:54,LFP,Factory_B,L1,Afternoon,3451.9,24.155,29.49,89.51,19,8.417,95.36,Defective
CELL-000126,2024-04-04 16:20:31,NCM,Factory_C,L3,Morning,3925.4,8.317,27.24,97.717,118,10.194,98.33,Normal
CELL-000127,2024-03-14 04:25:12,NCM,Factory_C,L4,Night,3865.9,10.83,27.16,97.476,8,8.875,91.51,Normal
CELL-000128,2023-10-27 20:05:03,NCA,Factory_C,L2,Afternoon,3917.0,11.489,31.66,98.223,41,8.671,94.87,Normal
CELL-000129,2024-09-24 18:26:24,NCM,Factory_A,L3,Morning,3915.2,12.971,31.79,97.312,2,7.883,93.54,Normal
CELL-000130,2024-08-20 00:25:45,NCM,Factory_A,L3,Night,3851.0,11.569,31.48,98.539,1,7.777,92.31,Normal
CELL-000131,2023-05-01 01:23:43,NCM,Factory_A,L4,Morning,3863.7,11.764,29.32,97.272,55,8.122,95.73,Normal
CELL-000132,2023-12-23 16:45:51,NCA,Factory_C,L3,Night,3847.9,8.833,21.58,98.594,34,8.283,92.82,Normal
CELL-000133,2024-06-01 15:53:59,NCM,Factory_A,L3,Morning,3905.1,11.253,22.33,96.883,66,9.398,97.09,Normal
CELL-000134,2023-12-23 12:57:51,NCM,Factory_A,L2,Night,3889.9,8.104,30.3,97.983,1,8.725,94.45,Normal
CELL-000135,2024-06-03 01:04:11,LFP,Factory_A,L4,Afternoon,3983.0,10.586,20.31,98.461,62,8.661,96.17,Normal
CELL-000136,2024-10-31 23:33:53,NCA,Factory_A,L4,Afternoon,3828.0,9.448,30.86,96.716,9,8.845,92.75,Normal
CELL-000137,2024-09-08 13:25:12,NCA,Factory_B,L1,Afternoon,3949.0,12.414,21.17,98.499,199,7.012,98.87,Normal
CELL-000138,2023-05-27 13:39:14,NCM,Factory_C,L1,Morning,3804.2,7.964,30.76,97.399,7,8.54,100.78,Normal
CELL-000139,2024-02-05 11:35:15,LFP,Factory_A,L3,Night,3735.3,11.426,28.6,98.246,58,8.124,97.84,Normal
CELL-000140,2024-05-04 23:04:32,NCM,Factory_C,L2,Afternoon,3848.6,11.588,20.75,97.696,8,8.139,96.97,Normal
CELL-000141,2024-01-25 17:48:27,NCA,Factory_B,L3,Morning,3875.8,7.761,21.36,98.994,160,8.81,97.22,Normal
CELL-000142,2023-05-14 15:05:03,NCM,Factory_B,L1,Night,3420.9,17.545,22.25,96.583,30,9.013,96.62,Defective
CELL-000143,2023-05-04 23:11:32,LFP,Factory_C,L4,Morning,3987.0,9.437,29.04,97.582,62,8.795,94.88,Normal
CELL-000144,2024-05-17 04:33:41,LFP,Factory_C,L1,Night,3747.6,9.77,28.43,97.755,255,7.438,89.48,Normal
CELL-000145,2024-03-21 16:28:22,LFP,Factory_A,L3,Night,3866.4,8.669,21.53,97.011,134,7.788,89.8,Normal
CELL-000146,2023-11-20 15:26:00,NCA,Factory_C,L1,Morning,3849.8,10.611,30.15,97.916,31,8.85,91.84,Normal
CELL-000147,2023-07-13 13:01:41,NCM,Factory_C,L1,Morning,3754.3,12.884,30.35,98.105,217,8.244,93.7,Normal
CELL-000148,2024-10-22 12:47:15,NCM,Factory_B,L2,Night,3981.2,9.896,21.52,97.597,156,8.466,89.73,Normal
CELL-000149,2024-05-13 01:03:11,LFP,Factory_C,L4,Morning,3550.6,41.608,25.62,93.071,52,7.853,93.59,Defective
CELL-000150,2024-07-09 11:41:22,NCM,Factory_C,L3,Morning,3862.2,11.188,27.06,96.302,181,7.959,99.26,Normal
CELL-000151,2024-07-12 19:09:18,NCM,Factory_B,L4,Morning,3941.6,10.394,27.91,97.73,60,8.66,99.34,Normal
CELL-000152,2023-07-28 19:57:36,NCA,Factory_A,L2,Afternoon,4018.6,8.622,29.85,97.163,165,7.751,101.61,Normal
CELL-000153,2024-08-04 00:57:01,NCM,Factory_A,L2,Morning,3608.1,36.635,23.5,95.511,79,9.23,92.72,Defective
CELL-000154,2024-05-23 12:05:51,LFP,Factory_A,L2,Afternoon,3913.2,9.143,32.86,96.48,67,7.683,94.6,Normal
CELL-000155,2024-06-14 01:44:47,NCM,Factory_A,L4,Night,3887.3,8.863,29.4,96.167,43,8.136,93.67,Normal
CELL-000156,2024-12-18 23:32:13,NCM,Factory_C,L4,Afternoon,3787.3,10.112,29.14,97.339,79,10.073,100.87,Normal
CELL-000157,2023-04-15 11:13:34,NCM,Factory_A,L3,Morning,3884.2,7.649,33.64,97.586,138,7.247,96.74,Normal
CELL-000158,2023-12-18 13:52:41,NCM,Factory_B,L1,Afternoon,3964.3,10.023,21.06,98.019,449,9.287,95.8,Normal
CELL-000159,2023-12-30 18:04:47,LFP,Factory_A,L1,Afternoon,3905.3,11.003,30.34,95.834,27,8.724,96.4,Normal
CELL-000160,2023-08-11 05:37:15,LFP,Factory_B,L2,Afternoon,3853.6,9.128,31.44,98.056,3,9.606,97.71,Normal
CELL-000161,2023-11-10 06:26:48,NCM,Factory_B,L4,Afternoon,3900.8,9.853,29.2,98.961,39,9.467,93.57,Normal
CELL-000162,2024-12-06 06:39:10,LFP,Factory_B,L3,Afternoon,3951.2,11.961,21.67,97.23,73,9.306,94.62,Normal
CELL-000163,2023-06-28 19:40:46,NCM,Factory_A,L4,Afternoon,3799.2,10.182,23.08,98.366,4,9.052,94.34,Normal
CELL-000164,2024-04-15 08:28:40,LFP,Factory_A,L1,Morning,3875.8,8.986,23.75,96.881,17,8.543,99.79,Normal
CELL-000165,2023-02-14 12:16:42,LFP,Factory_B,L2,Morning,3759.2,9.733,27.05,98.421,29,9.256,90.96,Normal
CELL-000166,2024-12-13 21:20:16,LFP,Factory_B,L4,Morning,3850.9,10.476,22.07,97.64,247,8.377,86.66,Normal
CELL-000167,2024-05-01 20:43:23,LFP,Factory_C,L1,Afternoon,3894.1,9.776,21.82,97.381,29,8.334,101.57,Normal
CELL-000168,2023-08-13 10:38:02,NCA,Factory_B,L2,Night,3944.6,10.403,22.57,97.037,120,9.479,93.1,Normal
CELL-000169,2023-09-16 20:53:48,LFP,Factory_B,L3,Afternoon,3797.7,9.605,31.35,97.078,416,8.721,97.35,Normal
CELL-000170,2023-05-17 04:23:55,LFP,Factory_B,L1,Night,3842.8,10.614,21.3,98.336,4,7.738,87.27,Normal
CELL-000171,2024-07-30 12:04:55,NCM,Factory_A,L2,Night,3778.8,11.532,23.65,96.635,166,9.808,88.89,Normal
CELL-000172,2024-08-05 00:40:35,NCM,Factory_B,L3,Afternoon,3776.8,11.089,30.29,98.733,51,7.301,95.85,Normal
CELL-000173,2024-03-04 22:46:01,LFP,Factory_A,L3,Morning,3870.7,11.798,28.38,97.245,46,7.112,98.04,Normal
CELL-000174,2024-02-20 07:43:01,NCA,Factory_C,L1,Night,3747.8,10.957,29.86,96.528,84,8.139,94.84,Normal
CELL-000175,2023-06-10 00:16:19,LFP,Factory_C,L3,Night,3947.0,9.119,30.75,98.231,583,8.462,88.17,Normal
CELL-000176,2023-11-30 03:30:15,NCA,Factory_C,L3,Afternoon,3889.9,8.548,22.33,96.767,148,8.139,99.18,Normal
CELL-000177,2024-03-28 05:10:31,LFP,Factory_B,L1,Morning,3821.1,10.532,32.26,96.247,265,7.917,93.49,Normal
CELL-000178,2024-04-29 23:03:04,LFP,Factory_B,L2,Afternoon,4003.7,8.774,21.81,98.36,86,7.276,92.87,Normal
CELL-000179,2023-06-16 18:57:02,LFP,Factory_C,L2,Night,3895.7,9.1,19.51,96.319,104,7.626,92.41,Normal
CELL-000180,2024-05-15 19:27:41,NCA,Factory_C,L3,Night,3813.3,7.82,30.39,96.733,212,8.667,90.26,Normal
CELL-000181,2023-08-12 10:02:44,NCA,Factory_A,L2,Afternoon,3777.1,8.185,30.64,99.269,37,8.928,92.41,Normal
CELL-000182,2024-03-16 23:21:58,NCA,Factory_B,L4,Afternoon,3918.5,13.857,21.2,97.195,44,8.402,95.48,Normal
CELL-000183,2024-01-04 05:24:51,NCM,Factory_A,L4,Morning,3764.4,9.163,22.34,97.141,6,8.253,88.24,Normal
CELL-000184,2023-08-02 16:13:40,NCA,Factory_A,L1,Afternoon,3849.8,8.032,32.33,98.249,32,8.363,102.81,Normal
CELL-000185,2023-03-05 16:04:01,NCA,Factory_B,L1,Morning,4086.0,10.368,29.89,96.731,12,8.611,95.51,Normal
CELL-000186,2024-03-29 18:31:05,NCM,Factory_A,L3,Afternoon,3808.2,12.544,30.48,97.696,200,7.917,89.31,Normal
CELL-000187,2023-03-08 17:20:34,NCM,Factory_B,L2,Morning,3744.9,9.714,22.06,97.008,51,8.79,101.28,Normal
CELL-000188,2024-09-17 22:42:38,NCM,Factory_C,L4,Night,3974.7,7.526,30.48,96.915,257,8.256,93.31,Normal
CELL-000189,2023-04-12 04:30:04,NCM,Factory_C,L2,Morning,3963.9,10.154,29.6,97.75,71,7.928,93.28,Normal
CELL-000190,2024-04-26 03:33:34,LFP,Factory_B,L1,Afternoon,3880.2,8.785,31.83,97.711,49,9.168,93.53,Normal
CELL-000191,2024-10-31 22:21:53,LFP,Factory_A,L2,Afternoon,3818.9,8.29,20.14,97.405,117,8.863,94.15,Normal
CELL-000192,2024-06-20 03:41:52,LFP,Factory_A,L3,Afternoon,3963.0,9.93,24.09,97.309,218,10.416,94.83,Normal
CELL-000193,2023-10-22 15:36:32,NCM,Factory_A,L2,Afternoon,3805.6,12.201,22.38,97.226,386,8.324,94.13,Normal
CELL-000194,2024-03-26 20:32:19,LFP,Factory_A,L3,Afternoon,3830.6,8.758,29.29,98.819,209,10.017,98.58,Normal
CELL-000195,2023-09-06 03:32:34,NCA,Factory_A,L2,Night,3810.6,9.17,32.59,96.639,113,8.199,94.43,Normal
CELL-000196,2024-03-26 00:19:25,LFP,Factory_A,L3,Afternoon,3839.8,9.529,24.43,95.756,175,7.443,95.17,Normal
CELL-000197,2024-09-01 11:09:50,NCM,Factory_B,L1,Night,3806.0,8.722,28.23,98.259,98,9.129,96.74,Normal
CELL-000198,2023-12-12 21:27:41,NCM,Factory_C,L1,Afternoon,3830.6,9.572,23.34,97.467,75,8.806,101.22,Normal
CELL-000199,2023-12-28 19:59:40,NCM,Factory_B,L4,Morning,3998.0,8.35,31.38,97.008,132,8.204,93.44,Normal
CELL-000200,2023-08-04 13:17:26,NCA,Factory_B,L1,Morning,3910.1,7.879,22.46,96.639,63,9.072,93.35,Normal
CELL-000201,2024-03-20 04:24:42,NCM,Factory_A,L2,Afternoon,3962.6,14.686,30.09,98.392,117,8.66,101.33,Normal
CELL-000202,2023-06-27 17:44:24,LFP,Factory_C,L1,Afternoon,3309.0,18.257,20.58,92.883,31,7.948,97.33,Defective
